NOTE:   Deleted codes are valid for dates of service on or before the date of deletion.,,,
NOTE:  Updated codes are in bold.,,,
NOTE:   The jurisdiction list includes codes that are not payable by Medicare.  Please consult the Medicare,,,
contractor in whose jurisdiction a claim would be filed in order to determine coverage under Medicare.,,,
NOTE: All HCPCS codes listed have DME or joint MAC Jurisdiction. Any other codes not listed as DME MAC only or dual DME MAC/Part B MAC ,,,
jurisdiction shall be considered to be A/B MAC (Part B) only jurisdiction. ,,,
HCPCS,DESCRIPTION,JURISDICTION,COMMENT
A4614,Peak Flow Rate Meter,"Part B MAC if incident to a physician's service (not separately payable) or if supply for implanted prosthetic device or implanted DME.  If other, DME MAC.",
A4615 - A4629,Oxygen & Tracheostomy Supplies,"Part B MAC if incident to a physician's service (not separately payable) or if supply for implanted prosthetic device or implanted DME.  If other, DME MAC.",
A4630 - A4640,DME Supplies,DME MAC,
A4649,Miscellaneous Surgical Supplies,"Part B MAC if incident to a physician's service (not separately payable), or if supply for implanted prosthetic device or implanted DME. If other, DME MAC",
A4651 - A4932,Supplies for ESRD,DME MAC (not separately payable),
A5051 - A5093,Additional Ostomy Supplies,"Part B MAC if incident to a physician's service. If other, DME MAC",
A5102 - A5200,Additional Incontinence and Ostomy Supplies,"Part B MAC if incident to a physician's service. If other, DME MAC",
A5500 - A5514,Therapeutic Shoes,DME MAC,
A6000,Non-Contact Wound Warming Cover,DME MAC,
A6010-A6024,Surgical Dressing,"Part B MAC if incident to a physician's service (not separately payable) or if supply for implanted prosthetic device or implanted DME.  If other, DME MAC.",
A6025,Silicone Gel Sheet,"Part B MAC if incident to a physician's service (not separately payable) or if supply for implanted prosthetic device or implanted DME.  If other, DME MAC.",
A6154 - A6411,Surgical Dressing,"Part B MAC if incident to a physician's service (not separately payable) or if supply for implanted prosthetic device or implanted DME.  If other, DME MAC.",
A6412,Eye Patch,"Part B MAC if incident to a physician's service (not separately payable) or if supply for implanted prosthetic device or implanted DME.  If other, DME MAC.",
A6413,Adhesive Bandage,"Part B MAC if incident to a physician's service (not separately payable) or if supply for implanted prosthetic device or implanted DME.  If other, DME MAC.",
A6441 - A6457,Surgical Dressings,"Part B MAC if incident to a physician's service (not separately payable) or if supply for implanted prosthetic device or implanted DME.  If other, DME MAC.",
A6501-A6512,Surgical Dressing,"Part B MAC if incident to a physician's service
(not separately payable) or if supply for implanted 
prosthetic device or implanted DME.  If other, 
DME MAC",
A6513; A6515-A6519,"Compression Burn Mask, Lymphedema Compression Treatment Items",DME MAC,
A6520 - A6549,Gradient Compression Garments ,DME MAC,
A6550 ,Supplies for Negative Pressure Wound Therapy Electrical Pump,DME MAC,
A6552 - A6589,Lymphedema Compression Items,DME MAC,
"A6590 ,  A6591",Accessories for Suction Pumps,DME MAC,
A6593 - A6611,Lymphedema Compression Items,DME MAC,
A7000 - A7002,Accessories for Suction Pumps,DME MAC,
A7003 - A7039,"Accessories for Nebulizers, Aspirators and Ventilators",DME MAC,
A7044 - A7047,Respiratory Accessories,DME MAC,
A7049,Respiratory Item,DME MAC,
A7501-A7527,Tracheostomy Supplies,DME MAC,
A8000-A8006,Protective Helmets; Grip Assist Gloves,DME MAC,
"A9156; A9268, A9269",Mucoadhesive and Programable oral capsule,DME MAC,
A9270,Noncovered Items or Services,DME MAC,
A9272,Disposable Wound Suction Pump,DME MAC,
A9273,"Hot Water Bottles, Ice Caps or Collars, and Heat and/or Cold Wraps",DME MAC,
"A9274 , A9278",Glucose Monitoring,DME MAC,
A9279,Monitoring Feature/Device,DME MAC,
A9280,Alarm Device,DME MAC,
A9281,Reaching/Grabbing Device,DME MAC,
A9282,Wig,DME MAC,
A9283,Foot Off Loading Device,DME MAC,
A9284- A9286,"Non-electric Spirometer, Inversion Devices and Hygienic Items",DME MAC,
A9294,Digital Therapy,DME MAC,
A9300,Exercise Equipment,DME MAC,
A9900 ,Miscellaneous DME Supply or Accessory,"Part B MAC if used with implanted DME.  If other, DME MAC",
A9901,Delivery,DME MAC,
A9999,Miscellaneous DME Supply or Accessory,"Part B MAC if used with implanted DME.  If other, DME MAC",
B4034 - B9999,Enteral and Parenteral Therapy,DME MAC,
"E0100 , E0105",Canes,DME MAC,
E0110 - E0118,Crutches,DME MAC,
E0130 - E0159,Walkers,DME MAC,
E0160 - E0175,Commodes,DME MAC,
E0181 - E0199,Decubitus Care Equipment,DME MAC,
E0200 - E0239,Heat/Cold Applications,DME MAC,
E0240 - E0248,Bath and Toilet Aids,DME MAC,
E0249,Pad for Heating Unit,DME MAC,
E0250 - E0304,Hospital Beds,DME MAC,
E0305 - E0326,Hospital Bed Accessories,DME MAC,
"E0328 , E0329",Pediatric Hospital Beds,DME MAC,
"E0350 , E0352",Electronic Bowel Irrigation System,DME MAC,
E0370,Heel Pad,DME MAC,
E0371 - E0373,Decubitus Care Equipment,DME MAC,
E0424 - E0484,Oxygen and Related Respiratory Equipment,DME MAC,
"E0485 , E0486",Oral Device to Reduce Airway Collapsibility,DME MAC,
E0487,Electric Spirometer,DME MAC,
E0490- E0493,Oral Neuromuscular Stimulator,DME MAC,
E0500,IPPB Machine,DME MAC,
E0530,Electric Sleep Apnea Treatment,DME MAC,
E0550 - E0585,Compressors/Nebulizers,DME MAC,
E0600 ,Suction Pump,DME MAC,
E0601,CPAP Device,DME MAC,
E0602 - E0604,Breast Pump,DME MAC,
E0605,Vaporizer,DME MAC,
E0606,Drainage Board,DME MAC,
E0607 ,Home Blood Glucose Monitor,DME MAC,
"E0610 , E0615",Pacemaker Monitor,DME MAC,
E0617,External Defibrillator,DME MAC,
"E0618 , E0619 ",Apnea Monitor,DME MAC,
E0620,Skin Piercing Device,DME MAC,
E0621 - E0636,Patient Lifts,DME MAC,
E0637 - E0642,Standing Devices/Lifts,DME MAC,
E0650 - E0683,Pneumatic/ Non-Pneumatic Devices and Appliances,DME MAC,
E0691 - E0694,Ultraviolet Light Therapy Systems,DME MAC,
E0700,Safety Equipment,DME MAC,
E0705,Transfer Board,DME MAC,
E0710 - E0716,Restraints/Enclosures; Pelvic Device,DME MAC,
E0720 - E0745,Electrical Nerve Stimulators; Rehab System,DME MAC,
"E0747 , E0748",Osteogenic Stimulators,DME MAC,
E0755- E0770,Stimulation Devices,DME MAC,
E0776,IV Pole,DME MAC,
"E0779 , E0780",External Infusion Pumps,DME MAC,
E0781 ,Ambulatory Infusion Pump,DME MAC,
E0784,"Infusion Pumps, Insulin",DME MAC,
E0791,Parenteral Infusion Pump,DME MAC,
E0830,Ambulatory Traction Device,DME MAC,
E0840 - E0900,Traction Equipment,DME MAC,
E0910 - E0930,Trapeze/Fracture Frame,DME MAC,
"E0935 , E0936",Passive Motion Exercise Device,DME MAC,
E0940,Trapeze Equipment,DME MAC,
E0941,Traction Equipment,DME MAC,
E0942 - E0945,Orthopedic Devices,DME MAC,
E0946 - E0948,Fracture Frame,DME MAC,
E0950 - E1298,Wheelchairs,DME MAC,
E1300 - E1310,Whirlpool Equipment,DME MAC,
E1352 - E1392,Additional Oxygen Related Equipment,DME MAC,
E1399,Miscellaneous DME,"Part B MAC if implanted DME.  If other, DME MAC",
"E1405 , E1406",Additional Oxygen Equipment,DME MAC,
E1500 - E1625,Artificial Kidney Machines and Accessories,DME MAC  (not separately payable),
E1630 -E1699,Artifical Kidney Machines and Accessories,DME MAC  (not separately payable),
E1700 - E1702,TMJ  Device and Supplies,DME MAC,
E1800 - E1841,Dynamic Flexion Devices,DME MAC,
E1902,Communication Board,DME MAC,
E1905,CBT Device,DME MAC,
"E2000 , E2001",Suction Pump,DME MAC,
E2100 - E2104,Blood Glucose Monitors with special Features: Continuous Glucose Monitor,DME MAC,
E2120,Pulse Generator for Tympanic Treatment of Inner Ear,DME MAC,
E2201 - E2299,Wheelchair Accessories,DME MAC,
E2301 - E2398,Wheelchair Accessories,DME MAC,
E2402,Negative Pressure Wound Therapy Pump,DME MAC,
E2500 - E2599,Speech Generating Device,DME MAC,
E2601 - E2633,Wheelchair Cushions and Accessories,DME MAC,
"E3000 , E3200",Devices,DME MAC,
E8000 - E8002,Gait Trainers,DME MAC,
G0333,Dispensing Fee,DME MAC,
J0120-J0134,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J0136-J0169,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J0174-J0176,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J0179-J0184,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J0202,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J0206-J0214,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J0216-J0287,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J0289-J0349,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J0351-J0364,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J0366-J0379,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J0381-J0394,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J0396-J0458,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J0470-J0567,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J0571-J0575,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J0577-J0600,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J0606,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J0610-J0614,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J0618-J0709,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J0711- J0714,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J0716-J0737,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J0738-J0739,Injection,"Part B MAC if incident to a physician's service, Part B pharmacy supplier, or used in an implanted infusion pump.  
If other, DME MAC.",
J0740- J0749,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J0750 - J0752,Oral,"Part B MAC if incident to a physician's service, Part B pharmacy supplier, or used in an implanted infusion pump.  
If other, DME MAC.",
J0753 - J0794,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J0796 - J0798 ,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J0799,NOC Drugs,"Part B MAC if incident to a physician's service, Part B pharmacy supplier, or used in an implanted infusion pump.  
If other, DME MAC.",
J0800 - J0888,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J0890 - J0896,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J0898 - J0900,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J0902 - J0910,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J0912 - J1019,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J1021- J1029,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J1031 - J1039,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J1041- J1072,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J1074 - J1093,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J1100 - J1104,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J1105,Oral,"Part B MAC if incident to a physician's service 
If other, DME MAC.",
J1106 - J1169,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J1171-J1266,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J1268-J1299,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J1301-J1329,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J1331-J1442,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J1446-J1451,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J1453-J1456,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J1458-J1561,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J1563-J1619,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J1621-J1654,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J1656-J1709,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J1711-J1809,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J1811 - J1839,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J1841 - J1849,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J1851-J1889,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J1891 - J1939,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J1941 - J1944,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J1946 - J1960,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J1961,Injection,"Part B MAC if incident to a physician's service, Part B pharmacy supplier, or used in an implanted infusion pump.  
If other, DME MAC.",
J1962 - J2000,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J2002 -J2100,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J2151 -J2305,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J2312- J2360,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J2370-J2373,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J2400-J2402,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J2403,Miscellaneous Drug and Solutions,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  If other, DME MAC",
J2404-J2502,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J2505 ,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J2507,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J2510,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J2513-J2710,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J2712-J2777,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J2781-J2786,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J2788,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J2790-J2795,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J2797-J2805,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J2807-J2909,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J2911-J2919,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J2921 -J2929,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J2931-J2939,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J2941-J2994,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J2996-J3279,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J3281-J3304,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J3306-J3309,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J3311-J3319,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J3321-J3354,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J3356,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J3360-J3363,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J3373-J3387,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J3390-J3399,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J3401,Topical,"Part B MAC if incident to a physician's service 
If other, DME MAC.",
J3402,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J3410 - J3570,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J7030,Miscellaneous Drugs and Solutions,"Part B MAC if incident to a physician's service or used in an implanted infusion pump. If other, DME MAC.",
"J7040, J7042",Miscellaneous Drugs and Solutions,"Part B MAC if incident to a physician's service or used in an implanted infusion pump. If other, DME MAC.",
J7050,Miscellaneous Drugs and Solutions,"Part B MAC if incident to a physician's service or used in an implanted infusion pump. If other, DME MAC.",
J7060,Miscellaneous Drugs and Solutions,"Part B MAC if incident to a physician's service or used in an implanted infusion pump. If other, DME MAC.",
J7070,Miscellaneous Drugs and Solutions,"Part B MAC if incident to a physician's service or used in an implanted infusion pump. If other, DME MAC.",
"J7100, J7110",Miscellaneous Drugs and Solutions,"Part B MAC if incident to a physician's service or used in an implanted infusion pump. If other, DME MAC.",
"J7120, J7121",Miscellaneous Drugs and Solutions,"Part B MAC if incident to a physician's service or used in an implanted infusion pump. If other, DME MAC.",
J7131,Miscellaneous Drugs and Solutions,"Part B MAC if incident to a physician's service or used in an implanted infusion pump. If other, DME MAC.",
J7165,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J7171,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J7340,Carbidopa/Levodopa,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J7356,Injection,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  
If other, DME MAC.",
J7500 - J7504,Immunosuppressive Drugs,"Part B MAC if incident to a physician's service or used in an implanted infusion pump. If other, DME MAC.",
J7506 - J7512,Immunosuppressive Drugs,"Part B MAC if incident to a physician's service or used in an implanted infusion pump. If other, DME MAC.",
J7514 - J7599 ,Immunosuppressive Drugs,"Part B MAC if incident to a physician's service or used in an implanted infusion pump. If other, DME MAC.",
J7601,Inhalation Suspension,"Part B MAC if incident to a physician's service.  If other, DME MAC.",
J7604 - J7699 ,Inhalation Solutions,"Part B MAC if incident to a physician's service.  If other, DME MAC.",
J7799 -J7999,"NOC Drugs, Other than inhalation Drugs","Part B MAC if incident to a physician's service or used in an implanted infusion pump.  If other, DME MAC.",
J8498,Anti-emetic Drug,DME MAC,
J8499,"Prescription Drug, Oral, Non Chemotherapeutic","Part B MAC if incident to a physician's service. If other, DME MAC",
J8501 ,Oral Anti-Cancer Drugs,DME MAC,
J8510 - J8515,Oral Anti-Cancer Drugs,DME MAC,
J8522 - J8561,Oral Anti-Cancer Drugs,DME MAC,
J8563 - J8649,Oral Anti-Cancer Drugs,DME MAC,
J8651- J8999,Oral Anti-Cancer Drugs,DME MAC,
J9000 - J9018,Chemotherapy Drugs,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  If other, DME MAC",
J9021 - J9036,Chemotherapy Drugs,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  If other, DME MAC",
J9038 - J9057,Chemotherapy Drugs,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  If other, DME MAC",
J9060 - J9061,Chemotherapy Drugs,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  If other, DME MAC",
"J9063, J9065",Chemotherapy Drugs,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  If other, DME MAC",
J9071 - J9076,Chemotherapy Drugs,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  If other, DME MAC",
J9100 - J9150,Chemotherapy Drugs,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  If other, DME MAC",
J9153 - J9161,Chemotherapy Drugs,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  If other, DME MAC",
J9171 - J9211,Chemotherapy Drugs,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  If other, DME MAC",
J9213 - J9246,Chemotherapy Drugs,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  If other, DME MAC",
"J9248, J9249",Chemotherapy Drugs,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  If other, DME MAC",
J9255-J9256,Chemotherapy Drugs,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  If other, DME MAC",
J9260 - J9269,Chemotherapy Drugs,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  If other, DME MAC",
J9271 - J9281,Chemotherapy Drugs,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  If other, DME MAC",
J9285 - J9325,Chemotherapy Drugs,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  If other, DME MAC",
J9328 - J9334,Chemotherapy Drugs,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  If other, DME MAC",
J9341 - J9370,Chemotherapy Drugs,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  If other, DME MAC",
J9376- J9999,Chemotherapy Drugs,"Part B MAC if incident to a physician's service or used in an implanted infusion pump.  If other, DME MAC",
K0001 - K0108,Wheelchairs,DME MAC,
K0195,Elevating Leg Rests,DME MAC,
K0455,Infusion Pump used for Uninterrupted Administration of Epoprostenal,DME MAC,
K0462,Loaner Equipment,DME MAC,
K0552 ,External Infusion Pump Supplies ,DME MAC,
K0601-K0605,External Infusion Pump Supplies ,DME MAC,
K0606 - K0609,Defibrillator Accessories,DME MAC,
K0669,Wheelchair Cushion,DME MAC,
K0672,Soft Interface for Orthosis ,DME MAC,
K0730,Inhalation Drug Delivery System,DME MAC,
K0733,Power Wheelchair Accessory,DME MAC,
K0738,Oxygen Equipment ,DME MAC,
K0739,Repair or Nonroutine Service for DME,"Part B MAC if implanted DME.  If other, DME MAC",
K0740,Repair or Nonroutine Service for Oxygen Equipment,DME MAC,
K0743 - K0746,Suction Pump and Dressings,DME MAC,
K0800 - K0899,Power Mobility Devices,DME MAC,
K0900,"Custom DME, other than Wheelchair",DME MAC,
K1004,Devices,"DME MAC when the supplier considers the item DMEPOS.  Part B MAC if the supplier considers the item something other than DMEPOS (e.g., supplies furnished incident to the professional service of a physician)",
K1007,Devices ,DME MAC ,
